,registered_kwp,observed_peak_kw_atSTC,peak_to_registered,deviation_vs_plant
01.01.001,30.6,23.2,0.76,0.95
01.01.002,30.6,23.1,0.75,0.94
01.01.003,30.6,23.1,0.75,0.94
01.01.004,30.92,23.1,0.75,0.94
01.01.005,30.6,23.1,0.75,0.94
01.01.006,30.6,23.1,0.75,0.94
01.01.007,30.6,23.0,0.75,0.94
01.02.008,30.6,23.1,0.75,0.94
01.02.009,30.6,23.1,0.75,0.94
01.02.010,30.6,23.1,0.75,0.94
01.02.011,30.6,23.0,0.75,0.94
01.02.012,30.6,23.0,0.75,0.94
01.02.013,30.6,23.1,0.75,0.94
01.02.014,30.6,23.0,0.75,0.94
01.03.015,30.0,23.1,0.77,0.96
01.03.016,30.0,23.1,0.77,0.96
01.03.017,30.0,23.0,0.77,0.96
01.03.018,30.0,23.0,0.77,0.96
01.03.019,30.0,23.0,0.77,0.96
01.03.020,30.0,23.1,0.77,0.96
01.03.021,30.6,23.1,0.75,0.94
01.04.022,28.2,23.1,0.82,1.02
01.04.023,28.2,23.0,0.82,1.02
01.04.024,28.2,23.0,0.82,1.02
01.04.025,28.2,23.0,0.82,1.02
01.04.026,18.0,23.0,1.28,1.6
01.04.027,23.52,23.0,0.98,1.22
01.04.028,29.4,23.0,0.78,0.98
01.05.029,28.8,23.0,0.8,1.0
01.05.030,5.64,23.0,4.08,5.1
01.05.031,28.8,23.0,0.8,1.0
01.05.032,21.56,21.3,0.99,1.24
01.05.033,28.5,23.0,0.81,1.01
01.05.034,29.4,23.1,0.79,0.99
01.05.035,29.4,23.0,0.78,0.98
01.06.036,30.6,23.2,0.76,0.95
01.06.037,30.6,23.2,0.76,0.95
01.06.038,30.6,23.1,0.75,0.94
01.06.039,30.6,23.1,0.75,0.94
01.06.040,24.48,23.3,0.95,1.19
01.06.041,30.6,23.2,0.76,0.95
01.06.042,30.6,23.2,0.76,0.95
01.06.043,30.6,23.1,0.75,0.94
01.07.044,28.2,23.1,0.82,1.02
01.07.045,28.2,23.0,0.82,1.02
01.07.046,28.2,23.0,0.82,1.02
01.07.047,28.2,23.1,0.82,1.02
01.07.048,22.56,23.1,1.02,1.27
01.07.049,16.92,23.1,1.37,1.71
01.07.050,22.56,23.1,1.02,1.27
01.07.051,16.92,23.1,1.37,1.71
01.08.052,17.28,23.1,1.34,1.68
01.08.053,27.6,23.1,0.84,1.05
01.08.054,28.2,23.1,0.82,1.02
01.08.055,28.2,23.1,0.82,1.02
01.08.056,28.2,23.1,0.82,1.02
01.08.057,28.2,23.1,0.82,1.02
01.08.058,28.2,23.1,0.82,1.02
01.08.059,16.56,23.1,1.39,1.74
01.09.060,27.6,23.2,0.84,1.05
01.09.061,27.6,23.0,0.83,1.04
01.09.062,27.6,22.9,0.83,1.04
01.09.063,27.6,23.1,0.84,1.05
01.09.064,27.6,23.0,0.83,1.04
01.09.065,27.6,23.1,0.84,1.05
