inverter,first_production,outage_h_total,outage_pct_of_valid,outage_h_last365d,datagap_pct
01.08.053,2017-01-01,852.2,3.74,839.8,53.7
01.08.057,2017-01-01,936.0,4.11,783.9,54.0
01.08.058,2017-01-01,2464.2,10.85,742.5,53.8
01.05.035,2017-01-01,614.5,2.92,614.2,56.7
01.06.036,2017-01-01,629.1,2.62,609.8,51.2
01.09.060,2017-01-01,627.9,2.78,605.4,54.0
01.02.012,2017-01-01,1145.1,4.98,307.3,53.3
01.06.037,2017-01-01,702.8,2.93,124.0,51.3
01.04.023,2017-01-01,69.6,0.33,56.2,57.0
01.07.048,2017-01-01,72.8,0.31,54.8,52.1
01.09.062,2017-01-01,2055.8,9.33,34.7,55.3
01.08.055,2017-01-01,81.4,0.36,32.2,53.9
01.04.022,2017-01-01,214.5,1.0,28.0,56.0
01.02.014,2017-01-01,208.8,0.91,18.2,53.4
01.03.018,2017-01-01,24.0,0.11,15.3,56.2
01.04.025,2017-01-01,12.2,0.06,7.8,56.5
01.07.046,2017-01-01,15.7,0.07,7.7,51.3
01.02.011,2017-01-01,20.2,0.09,6.4,53.4
01.08.059,2017-01-01,14.7,0.06,5.6,53.7
01.09.065,2017-01-01,48.9,0.22,5.3,55.8
01.06.043,2017-01-01,8.3,0.03,4.8,51.5
01.06.039,2017-01-01,12.0,0.05,4.5,51.5
01.06.042,2017-01-01,5.7,0.02,4.0,51.5
01.07.050,2017-01-01,8.8,0.04,3.8,51.3
01.04.027,2017-01-01,18.2,0.09,3.8,56.7
01.05.029,2017-01-01,138.3,0.64,3.2,55.9
01.05.030,2017-01-01,9.2,0.04,2.9,57.2
01.06.038,2017-01-01,2.9,0.01,2.8,51.4
01.02.013,2017-01-01,9.3,0.04,2.6,53.5
01.06.041,2017-01-01,4.4,0.02,2.4,51.2
01.07.047,2017-01-01,5.2,0.02,2.4,51.5
01.02.009,2017-01-01,8.9,0.04,2.3,53.1
01.03.015,2017-01-01,2.2,0.01,2.0,56.5
01.03.017,2017-01-01,129.9,0.61,1.4,56.5
01.01.004,2017-01-01,600.8,2.66,1.3,54.3
01.07.049,2017-01-01,1.2,0.01,1.1,51.4
01.01.003,2017-01-01,576.0,2.49,1.1,53.2
01.03.020,2017-01-01,4.8,0.02,1.0,56.1
01.02.010,2017-01-01,13.2,0.06,0.9,53.2
01.01.007,2017-01-01,109.9,0.48,0.8,54.1
01.07.051,2017-01-01,2.8,0.01,0.7,51.3
01.05.031,2017-01-01,0.8,0.0,0.6,56.4
01.07.044,2017-01-01,0.8,0.0,0.5,51.1
01.08.052,2017-01-01,0.1,0.0,0.1,53.6
01.01.002,2017-01-01,974.1,4.21,0.1,53.1
01.09.064,2017-01-01,1.1,0.0,0.1,53.9
01.09.063,2017-01-01,2.3,0.01,0.1,54.3
01.05.032,2017-01-01,178.3,0.85,0.1,57.1
01.06.040,2017-01-01,0.6,0.0,0.1,51.6
01.08.056,2017-01-01,0.2,0.0,0.1,53.8
01.01.001,2017-01-01,3.7,0.02,0.0,53.6
01.05.033,2017-01-01,173.3,0.82,0.0,56.6
01.04.028,2017-01-01,0.8,0.0,0.0,55.7
01.03.021,2017-01-01,0.0,0.0,0.0,56.0
01.03.019,2017-01-01,0.1,0.0,0.0,56.0
01.01.005,2017-01-01,0.3,0.0,0.0,53.1
01.03.016,2017-01-01,1045.3,4.85,0.0,56.1
01.02.008,2017-01-01,11.4,0.05,0.0,56.4
01.01.006,2017-01-01,21.3,0.09,0.0,54.3
01.04.026,2017-01-01,179.4,0.83,0.0,55.8
01.04.024,2017-01-01,0.9,0.0,0.0,56.1
01.07.045,2017-01-01,0.2,0.0,0.0,51.4
01.05.034,2017-01-01,0.2,0.0,0.0,56.6
01.08.054,2017-01-01,0.0,0.0,0.0,53.6
01.09.061,2017-01-01,0.5,0.0,0.0,54.7
