inverter,registered_kwp,mean_ratio,median_ratio,days_observed,pct_days_above_1_1,last365_mean_ratio,implied_kwp_from_median,kwp_gap,registered_understated_pct,section,classification
01.05.030,5.64,4.521,5.149,3125,0.891,5.276,29.039,23.399,80.578,01.05,clean_register_candidate
01.07.049,16.92,1.993,1.845,3125,0.986,2.235,31.225,14.305,45.813,01.07,clean_register_candidate
01.07.051,16.92,1.436,1.663,3125,0.793,1.481,28.144,11.224,39.88,01.07,clean_register_candidate
01.04.026,18.0,1.504,1.554,3125,0.912,1.662,27.977,9.977,35.661,01.04,clean_register_candidate
01.07.048,22.56,1.539,1.394,3125,0.971,1.333,31.456,8.896,28.282,01.07,clean_register_candidate
01.07.050,22.56,1.241,1.292,3125,0.867,1.277,29.158,6.598,22.628,01.07,clean_register_candidate
01.06.040,24.48,1.413,1.263,3125,0.974,1.529,30.907,6.427,20.794,01.06,clean_register_candidate
01.04.027,23.52,1.122,1.231,3125,0.761,1.032,28.964,5.444,18.795,01.04,clean_register_candidate
01.08.059,16.56,1.735,1.751,3125,0.953,1.465,28.991,12.431,42.879,01.08,operationally_confounded
01.08.052,17.28,1.633,1.676,3125,0.953,1.407,28.965,11.685,40.342,01.08,operationally_confounded
01.08.054,28.2,1.221,1.107,3125,0.533,1.057,31.212,3.012,9.651,01.08,watch
01.09.061,27.6,1.167,1.102,3125,0.509,0.997,30.414,2.814,9.252,01.09,watch
