,k,n_fit,baseline_start,fit_r2
01.01.001,0.02580428682267666,16421,2017-01-01 08:00:00,0.8527903641831853
01.01.002,0.02514784410595894,16418,2017-01-01 08:00:00,0.8728707760645472
01.01.003,0.02486901544034481,16364,2017-01-01 08:15:00,0.8091108005659593
01.01.004,0.021984145045280457,16339,2017-01-01 09:00:00,0.5663720764632294
01.01.005,0.024057401344180107,16403,2017-01-01 08:00:00,0.7881302977277606
01.01.006,0.025672366842627525,16422,2017-01-01 08:00:00,0.8445569680290441
01.01.007,0.022962814196944237,16349,2017-01-01 08:35:00,0.6929969722851855
01.02.008,0.02582590840756893,16420,2017-01-01 08:00:00,0.8310734001301191
01.02.009,0.025573598220944405,16413,2017-01-01 08:00:00,0.8412461135162226
01.02.010,0.024885842576622963,16369,2017-01-01 08:15:00,0.7983805828995361
01.02.011,0.022095225751399994,16341,2017-01-01 08:45:00,0.5633497628305648
01.02.012,0.025515485554933548,16419,2017-01-01 08:00:00,0.8367811539149033
01.02.013,0.02374343015253544,16349,2017-01-01 08:30:00,0.7666015900361728
01.02.014,0.02377132885158062,16397,2017-01-01 08:10:00,0.7541643918365366
01.03.015,0.02518618293106556,16441,2017-01-01 08:00:00,0.7958418393292973
01.03.016,0.024757342413067818,16414,2017-01-01 08:00:00,0.7974285021812894
01.03.017,0.024284863844513893,16248,2017-01-01 08:15:00,0.7816141453772345
01.03.018,0.02159753255546093,16114,2017-01-01 08:55:00,0.5735409760927233
01.03.019,0.02501765452325344,16429,2017-01-01 08:00:00,0.7987917025660423
01.03.020,0.02307572402060032,16237,2017-01-01 08:30:00,0.7090081629598377
01.03.021,0.02416587993502617,16342,2017-01-01 08:00:00,0.7728675338810351
01.04.022,0.025018522515892982,16451,2017-01-01 08:00:00,0.7845971668011649
01.04.023,0.02476303093135357,16427,2017-01-01 08:00:00,0.7932271121806986
01.04.024,0.024112485349178314,16277,2017-01-01 08:05:00,0.7620097546026873
01.04.025,0.02157098427414894,16176,2017-01-01 08:35:00,0.5711149026574395
01.04.026,0.024071408435702324,16391,2017-01-01 08:00:00,0.764209971647274
01.04.027,0.02363491803407669,16420,2017-01-01 08:00:00,0.7269294299583214
01.04.028,0.02402590960264206,16400,2017-01-01 08:00:00,0.754675396952679
01.05.029,0.023981409147381783,16416,2017-01-01 08:00:00,0.771619120873602
01.05.030,0.024026362225413322,16382,2017-01-01 08:00:00,0.765543755866858
01.05.031,0.02355087175965309,16080,2017-01-01 08:00:00,0.7486236037042179
01.05.032,0.018027303740382195,16402,2017-01-01 08:00:00,0.8147101287510534
01.05.033,0.023173237219452858,16455,2017-01-01 08:00:00,0.7926060277146068
01.05.034,0.02528475783765316,16454,2017-01-01 08:00:00,0.7574073277302376
01.05.035,0.023888224735856056,16420,2017-01-01 08:00:00,0.7320969668604634
01.06.036,0.02584586851298809,16771,2017-01-01 08:00:00,0.8769433536696629
01.06.037,0.025326795876026154,16763,2017-01-01 08:00:00,0.8907312234105679
01.06.038,0.02457408234477043,16747,2017-01-01 08:15:00,0.827578275024245
01.06.039,0.022103432565927505,16707,2017-01-01 08:50:00,0.5957403614715576
01.06.040,0.02601904422044754,16778,2017-01-01 08:00:00,0.8638016382830263
01.06.041,0.025782011449337006,16778,2017-01-01 08:00:00,0.8637617817356703
01.06.042,0.024239925667643547,16729,2017-01-01 08:25:00,0.8073144121034476
01.06.043,0.02207213267683983,16698,2017-01-01 08:50:00,0.5696718104835583
01.07.044,0.025212198495864868,16774,2017-01-01 08:00:00,0.8653246689919549
01.07.045,0.02482982911169529,16773,2017-01-01 08:00:00,0.8597545227516458
01.07.046,0.024071993306279182,16749,2017-01-01 08:05:00,0.8065719624160093
01.07.047,0.02133135311305523,16719,2017-01-01 08:30:00,0.5786958491203131
01.07.048,0.025357980281114578,16774,2017-01-01 08:00:00,0.8557692014674904
01.07.049,0.025194456800818443,16745,2017-01-01 08:00:00,0.8551238642613124
01.07.050,0.02382795885205269,16752,2017-01-01 08:05:00,0.8039648723060233
01.07.051,0.021649185568094254,16727,2017-01-01 08:25:00,0.5759472720453138
01.08.052,0.023413699120283127,16901,2017-01-01 08:00:00,0.8009433900652851
01.08.053,0.023127779364585876,16902,2017-01-01 08:00:00,0.8004760551229428
01.08.054,0.02508353628218174,16927,2017-01-01 08:00:00,0.8192704462944472
01.08.055,0.024886135011911392,16921,2017-01-01 08:00:00,0.8164285089834173
01.08.056,0.02427474968135357,16763,2017-01-01 08:05:00,0.8066510510916919
01.08.057,0.02150101773440838,16718,2017-01-01 08:30:00,0.577638426723734
01.08.058,0.02368193492293358,16725,2017-01-01 08:00:00,0.8008484900391513
01.08.059,0.02378053218126297,16921,2017-01-01 08:00:00,0.8038247262026311
01.09.060,0.024856634438037872,16927,2017-01-01 08:00:00,0.8111884299217564
01.09.061,0.024575505405664444,16922,2017-01-01 08:00:00,0.811132912975583
01.09.062,0.02394045516848564,16819,2017-01-01 08:00:00,0.7770809895104913
01.09.063,0.02154075726866722,16714,2017-01-01 08:20:00,0.5977593624932962
01.09.064,0.024687575176358223,16918,2017-01-01 08:00:00,0.803361120266293
01.09.065,0.022653639316558838,16761,2017-01-01 08:05:00,0.7297232896323087
