repair_in_days,cumulative_loss_eur
0,0.0
7,30.0
14,59.0
21,89.0
28,119.0
35,148.0
42,178.0
49,208.0
56,237.0
63,267.0
70,296.0
77,326.0
84,356.0
91,385.0
98,415.0
105,445.0
112,474.0
119,504.0
126,534.0
133,563.0
140,593.0
147,623.0
154,652.0
161,682.0
168,712.0
175,741.0
182,771.0
189,801.0
196,830.0
203,860.0
210,889.0
217,919.0
224,949.0
231,978.0
238,1008.0
245,1038.0
252,1067.0
259,1097.0
266,1127.0
273,1156.0
280,1186.0
287,1216.0
294,1245.0
301,1275.0
308,1305.0
315,1334.0
322,1364.0
329,1394.0
336,1423.0
343,1453.0
350,1482.0
357,1512.0
364,1542.0
