,mean_ratio,days_below_95,days_observed,lost_kwh_365d,lost_eur_365d
01.03.018,0.7014488759449664,272,317,3624.0,432.0
01.03.020,0.7883912253323435,266,317,2685.0,320.0
01.04.025,0.7773227250245213,151,317,2169.0,259.0
01.03.017,0.7854880665475279,209,317,1590.0,190.0
01.09.063,0.710972292104602,149,317,1374.0,164.0
01.09.065,0.38432639590272666,237,317,1023.0,122.0
01.08.057,0.349698497390852,239,317,939.0,112.0
01.09.062,0.5029719092233566,200,317,767.0,91.0
01.08.056,0.7791202741410932,122,317,741.0,88.0
01.08.058,0.45820259199392827,222,317,597.0,71.0
01.08.055,0.9218271946295133,101,317,426.0,51.0
01.09.060,0.7192080041940196,160,317,316.0,38.0
01.05.035,0.832281424974554,110,317,115.0,14.0
