inverter,ratio_last60d,trend,severity,est_eur_per_yr,ticket_last_120d,action
01.08.053,0.38,improving,CRITICAL,,True,site inspection / replacement assessment
01.08.058,0.39,improving,CRITICAL,71.0,True,site inspection / replacement assessment
01.08.055,0.47,improving,CRITICAL,51.0,False,site inspection / replacement assessment
01.04.025,0.63,worsening,MAJOR,259.0,True,"diagnostic check (DC strings, fuses)"
01.08.057,0.64,improving,MAJOR,112.0,False,"diagnostic check (DC strings, fuses)"
01.09.065,0.67,improving,MAJOR,122.0,False,"diagnostic check (DC strings, fuses)"
01.08.056,0.68,improving,MAJOR,88.0,False,"diagnostic check (DC strings, fuses)"
01.09.063,0.68,improving,MAJOR,164.0,False,"diagnostic check (DC strings, fuses)"
01.09.060,0.69,improving,MAJOR,38.0,False,"diagnostic check (DC strings, fuses)"
01.09.062,0.69,improving,MAJOR,91.0,False,"diagnostic check (DC strings, fuses)"
01.08.054,0.71,improving,MAJOR,,False,"diagnostic check (DC strings, fuses)"
01.09.061,0.71,improving,MAJOR,,False,"diagnostic check (DC strings, fuses)"
01.09.064,0.71,improving,MAJOR,,False,"diagnostic check (DC strings, fuses)"
01.02.012,0.82,worsening,MINOR,,False,monitor; clean/inspect if persists
01.03.018,0.85,improving,MINOR,432.0,False,monitor; clean/inspect if persists
01.06.037,0.85,worsening,MINOR,,False,monitor; clean/inspect if persists
01.07.044,0.85,worsening,MINOR,,False,monitor; clean/inspect if persists
01.07.047,0.86,improving,MINOR,,False,monitor; clean/inspect if persists
01.07.048,0.86,worsening,MINOR,,True,monitor; clean/inspect if persists
01.01.002,0.87,worsening,MINOR,,False,monitor; clean/inspect if persists
01.06.038,0.87,worsening,MINOR,,False,monitor; clean/inspect if persists
01.06.043,0.87,improving,MINOR,,False,monitor; clean/inspect if persists
01.01.007,0.88,improving,MINOR,,False,monitor; clean/inspect if persists
01.06.039,0.88,improving,MINOR,,False,monitor; clean/inspect if persists
01.06.042,0.88,worsening,MINOR,,False,monitor; clean/inspect if persists
01.02.014,0.9,worsening,MINOR,,False,monitor; clean/inspect if persists
01.06.036,0.9,worsening,MINOR,,False,monitor; clean/inspect if persists
01.01.003,0.91,stable,MINOR,,False,monitor; clean/inspect if persists
01.03.020,0.91,worsening,MINOR,320.0,False,monitor; clean/inspect if persists
01.06.041,0.91,worsening,MINOR,,False,monitor; clean/inspect if persists
01.01.006,0.92,worsening,MINOR,,False,monitor; clean/inspect if persists
01.02.011,0.92,improving,MINOR,,False,monitor; clean/inspect if persists
01.03.016,0.92,worsening,MINOR,,False,monitor; clean/inspect if persists
01.03.017,0.92,worsening,MINOR,190.0,False,monitor; clean/inspect if persists
01.02.008,0.93,worsening,MINOR,,False,monitor; clean/inspect if persists
